,icd9cm,icd10,description,flags,approximate,no_map,combination,scenario,choice_list
64205,V5889,T45612D,"Poisoning by thrombolytic drug, intentional self-harm, subsequent encounter",10000,1,0,0,0,0
64206,9090,T45612S,"Poisoning by thrombolytic drug, intentional self-harm, sequela",10111,1,0,1,1,1
64207,E959,T45612S,"Poisoning by thrombolytic drug, intentional self-harm, sequela",10112,1,0,1,1,2
64208,9644,T45613A,"Poisoning by thrombolytic drug, assault, initial encounter",10111,1,0,1,1,1
64209,E9620,T45613A,"Poisoning by thrombolytic drug, assault, initial encounter",10112,1,0,1,1,2
64210,V5889,T45613D,"Poisoning by thrombolytic drug, assault, subsequent encounter",10000,1,0,0,0,0
64211,9090,T45613S,"Poisoning by thrombolytic drug, assault, sequela",10111,1,0,1,1,1
64212,E969,T45613S,"Poisoning by thrombolytic drug, assault, sequela",10112,1,0,1,1,2
64213,9644,T45614A,"Poisoning by thrombolytic drug, undetermined, initial encounter",10111,1,0,1,1,1
64214,E9804,T45614A,"Poisoning by thrombolytic drug, undetermined, initial encounter",10112,1,0,1,1,2
64215,V5889,T45614D,"Poisoning by thrombolytic drug, undetermined, subsequent encounter",10000,1,0,0,0,0
64216,9090,T45614S,"Poisoning by thrombolytic drug, undetermined, sequela",10111,1,0,1,1,1
64217,E989,T45614S,"Poisoning by thrombolytic drug, undetermined, sequela",10112,1,0,1,1,2
64218,99529,T45615A,"Adverse effect of thrombolytic drugs, initial encounter",10111,1,0,1,1,1
64219,E9344,T45615A,"Adverse effect of thrombolytic drugs, initial encounter",10112,1,0,1,1,2
64220,V5889,T45615D,"Adverse effect of thrombolytic drugs, subsequent encounter",10000,1,0,0,0,0
64221,9095,T45615S,"Adverse effect of thrombolytic drugs, sequela",10111,1,0,1,1,1
64222,E9344,T45615S,"Adverse effect of thrombolytic drugs, sequela",10112,1,0,1,1,2
64223,NoDx,T45616A,"Underdosing of thrombolytic drugs, initial encounter",11000,1,1,0,0,0
64224,NoDx,T45616D,"Underdosing of thrombolytic drugs, subsequent encounter",11000,1,1,0,0,0
64225,NoDx,T45616S,"Underdosing of thrombolytic drugs, sequela",11000,1,1,0,0,0
64226,9648,T45621A,"Poisoning by hemostatic drug, accidental (unintentional), initial encounter",10111,1,0,1,1,1
64227,E8582,T45621A,"Poisoning by hemostatic drug, accidental (unintentional), initial encounter",10112,1,0,1,1,2
64228,V5889,T45621D,"Poisoning by hemostatic drug, accidental (unintentional), subsequent encounter",10000,1,0,0,0,0
