DETAIL_LAB_PROCEDURE_ID,ntk_score_lab,n_patients_with_abnormal,abnormal_rate_patients_pos,abnormal_rate_patients_neg
2231,3.3904496965335618e-06,48,1.1317978609020428e-05,6.723552690908841e-06
10650,3.3904496965335618e-06,48,2.2635957218040857e-05,6.5804983783363125e-06
4999,3.3904496965335618e-06,48,0.0,6.866607003481369e-06
819,3.319815327855779e-06,47,0.0,6.723552690908841e-06
20262,3.319815327855779e-06,47,0.0,6.723552690908841e-06
5781,3.319815327855779e-06,47,0.0,6.723552690908841e-06
11957,3.2491809591779966e-06,46,0.0,6.5804983783363125e-06
6977,3.2491809591779966e-06,46,0.0,6.5804983783363125e-06
487,3.2491809591779966e-06,46,0.0,6.5804983783363125e-06
6565,3.2491809591779966e-06,46,0.0,6.5804983783363125e-06
1947,3.2491809591779966e-06,46,2.2635957218040857e-05,6.294389753191256e-06
7822,3.1785465905002144e-06,45,0.0,6.4374440657637845e-06
2688,3.1785465905002144e-06,45,3.395393582706129e-05,6.008281128046199e-06
7811,3.1785465905002144e-06,45,1.1317978609020428e-05,6.294389753191256e-06
5305,3.1785465905002144e-06,45,0.0,6.4374440657637845e-06
11746,3.1785465905002144e-06,45,0.0,6.4374440657637845e-06
137,3.107912221822432e-06,44,1.1317978609020428e-05,6.151335440618727e-06
12614,3.107912221822432e-06,44,0.0,6.294389753191256e-06
2829,3.107912221822432e-06,44,0.0,6.294389753191256e-06
6666,3.107912221822432e-06,44,0.0,6.294389753191256e-06
12822,3.107912221822432e-06,44,1.1317978609020428e-05,6.151335440618727e-06
5017,3.107912221822432e-06,44,1.1317978609020428e-05,6.151335440618727e-06
5569,3.107912221822432e-06,44,0.0,6.294389753191256e-06
6529,3.107912221822432e-06,44,0.0,6.294389753191256e-06
2295,3.107912221822432e-06,44,1.1317978609020428e-05,6.151335440618727e-06
2356,3.107912221822432e-06,44,0.0,6.294389753191256e-06
2423,3.0372778531446492e-06,43,1.1317978609020428e-05,6.008281128046199e-06
4836,3.0372778531446492e-06,43,0.0,6.151335440618727e-06
431,3.0372778531446492e-06,43,3.395393582706129e-05,5.722172502901142e-06
1821,3.0372778531446492e-06,43,0.0,6.151335440618727e-06
555,3.0372778531446492e-06,43,0.0,6.151335440618727e-06
2830,3.0372778531446492e-06,43,0.0,6.151335440618727e-06
12464,3.0372778531446492e-06,43,1.1317978609020428e-05,6.008281128046199e-06
1202,3.0372778531446492e-06,43,2.2635957218040857e-05,5.86522681547367e-06
6627,3.0372778531446492e-06,43,0.0,6.151335440618727e-06
20775,3.0372778531446492e-06,43,3.395393582706129e-05,5.722172502901142e-06
7837,3.0372778531446492e-06,43,0.0,6.151335440618727e-06
3913,3.0372778531446492e-06,43,0.0,6.151335440618727e-06
384,3.0372778531446492e-06,43,1.1317978609020428e-05,6.008281128046199e-06
16443,2.9666434844668666e-06,42,2.2635957218040857e-05,5.722172502901142e-06
6823,2.9666434844668666e-06,42,0.0,6.008281128046199e-06
806,2.9666434844668666e-06,42,0.0,6.008281128046199e-06
1992,2.9666434844668666e-06,42,1.1317978609020428e-05,5.86522681547367e-06
6687,2.9666434844668666e-06,42,0.0,6.008281128046199e-06
654,2.9666434844668666e-06,42,1.1317978609020428e-05,5.86522681547367e-06
6750,2.9666434844668666e-06,42,0.0,6.008281128046199e-06
1807,2.9666434844668666e-06,42,3.395393582706129e-05,5.579118190328613e-06
12101,2.9666434844668666e-06,42,1.1317978609020428e-05,5.86522681547367e-06
5662,2.896009115789084e-06,41,0.0,5.86522681547367e-06
7098,2.896009115789084e-06,41,0.0,5.86522681547367e-06
14383,2.896009115789084e-06,41,1.1317978609020428e-05,5.722172502901142e-06
6602,2.896009115789084e-06,41,0.0,5.86522681547367e-06
1967,2.896009115789084e-06,41,0.0,5.86522681547367e-06
2357,2.896009115789084e-06,41,0.0,5.86522681547367e-06
1756,2.896009115789084e-06,41,1.1317978609020428e-05,5.722172502901142e-06
837,2.896009115789084e-06,41,0.0,5.86522681547367e-06
1018,2.896009115789084e-06,41,1.1317978609020428e-05,5.722172502901142e-06
721,2.896009115789084e-06,41,3.395393582706129e-05,5.436063877756084e-06
12759,2.896009115789084e-06,41,2.2635957218040857e-05,5.579118190328613e-06
522,2.896009115789084e-06,41,0.0,5.86522681547367e-06
2828,2.8253747471113015e-06,40,0.0,5.722172502901142e-06
1327,2.8253747471113015e-06,40,1.1317978609020428e-05,5.579118190328613e-06
12613,2.8253747471113015e-06,40,0.0,5.722172502901142e-06
17728,2.8253747471113015e-06,40,0.0,5.722172502901142e-06
167,2.8253747471113015e-06,40,0.0,5.722172502901142e-06
2369,2.8253747471113015e-06,40,0.0,5.722172502901142e-06
7101,2.8253747471113015e-06,40,1.1317978609020428e-05,5.579118190328613e-06
6903,2.754740378433519e-06,39,0.0,5.579118190328613e-06
3141,2.754740378433519e-06,39,0.0,5.579118190328613e-06
9056,2.754740378433519e-06,39,0.0,5.579118190328613e-06
4915,2.754740378433519e-06,39,0.0,5.579118190328613e-06
12089,2.754740378433519e-06,39,0.0,5.579118190328613e-06
2321,2.754740378433519e-06,39,5.6589893045102146e-05,4.86384662746597e-06
5728,2.754740378433519e-06,39,0.0,5.579118190328613e-06
2151,2.754740378433519e-06,39,0.0,5.579118190328613e-06
11733,2.754740378433519e-06,39,0.0,5.579118190328613e-06
749,2.754740378433519e-06,39,1.1317978609020428e-05,5.436063877756084e-06
1782,2.754740378433519e-06,39,2.2635957218040857e-05,5.293009565183556e-06
823,2.754740378433519e-06,39,1.1317978609020428e-05,5.436063877756084e-06
6907,2.6841060097557363e-06,38,2.2635957218040857e-05,5.149955252611027e-06
6822,2.6841060097557363e-06,38,0.0,5.436063877756084e-06
2003,2.6841060097557363e-06,38,1.1317978609020428e-05,5.293009565183556e-06
9110,2.6841060097557363e-06,38,0.0,5.436063877756084e-06
12975,2.6841060097557363e-06,38,0.0,5.436063877756084e-06
11939,2.6841060097557363e-06,38,0.0,5.436063877756084e-06
1220,2.6841060097557363e-06,38,2.2635957218040857e-05,5.149955252611027e-06
6415,2.613471641077954e-06,37,0.0,5.293009565183556e-06
2602,2.613471641077954e-06,37,0.0,5.293009565183556e-06
2019,2.613471641077954e-06,37,1.1317978609020428e-05,5.149955252611027e-06
5079,2.613471641077954e-06,37,0.0,5.293009565183556e-06
2827,2.613471641077954e-06,37,0.0,5.293009565183556e-06
696,2.613471641077954e-06,37,0.0,5.293009565183556e-06
7884,2.613471641077954e-06,37,3.395393582706129e-05,4.86384662746597e-06
6263,2.613471641077954e-06,37,1.1317978609020428e-05,5.149955252611027e-06
1091,2.613471641077954e-06,37,1.1317978609020428e-05,5.149955252611027e-06
5663,2.613471641077954e-06,37,0.0,5.293009565183556e-06
6494,2.5428372724001715e-06,36,1.1317978609020428e-05,5.006900940038498e-06
1168,2.5428372724001715e-06,36,0.0,5.149955252611027e-06
184,2.5428372724001715e-06,36,0.0,5.149955252611027e-06
2785,2.5428372724001715e-06,36,0.0,5.149955252611027e-06
7149,2.472202903722389e-06,35,0.0,5.006900940038498e-06
8212,2.472202903722389e-06,35,0.0,5.006900940038498e-06
389,2.472202903722389e-06,35,0.0,5.006900940038498e-06
4654,2.472202903722389e-06,35,0.0,5.006900940038498e-06
8937,2.472202903722389e-06,35,5.6589893045102146e-05,4.291629377175856e-06
6611,2.472202903722389e-06,35,0.0,5.006900940038498e-06
655,2.472202903722389e-06,35,0.0,5.006900940038498e-06
657,2.472202903722389e-06,35,0.0,5.006900940038498e-06
2150,2.472202903722389e-06,35,0.0,5.006900940038498e-06
2152,2.472202903722389e-06,35,0.0,5.006900940038498e-06
2826,2.472202903722389e-06,35,0.0,5.006900940038498e-06
11425,2.472202903722389e-06,35,0.0,5.006900940038498e-06
2905,2.472202903722389e-06,35,1.1317978609020428e-05,4.86384662746597e-06
1792,2.472202903722389e-06,35,0.0,5.006900940038498e-06
11469,2.472202903722389e-06,35,0.0,5.006900940038498e-06
2153,2.472202903722389e-06,35,0.0,5.006900940038498e-06
7739,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
5283,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
6910,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
8939,2.4015685350446064e-06,34,5.6589893045102146e-05,4.148575064603328e-06
176,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
23267,2.4015685350446064e-06,34,1.1317978609020428e-05,4.7207923148934415e-06
2211,2.4015685350446064e-06,34,1.1317978609020428e-05,4.7207923148934415e-06
2169,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
2047,2.4015685350446064e-06,34,1.1317978609020428e-05,4.7207923148934415e-06
12436,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
1213,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
1993,2.4015685350446064e-06,34,2.2635957218040857e-05,4.5777380023209135e-06
2312,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
16528,2.4015685350446064e-06,34,0.0,4.86384662746597e-06
6897,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
1194,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
2950,2.3309341663668238e-06,33,1.1317978609020428e-05,4.5777380023209135e-06
6866,2.3309341663668238e-06,33,1.1317978609020428e-05,4.5777380023209135e-06
6671,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
971,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
995,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
1956,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
2043,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
20810,2.3309341663668238e-06,33,0.0,4.7207923148934415e-06
14375,2.3309341663668238e-06,33,1.1317978609020428e-05,4.5777380023209135e-06
4547,2.260299797689041e-06,32,0.0,4.5777380023209135e-06
6250,2.260299797689041e-06,32,1.1317978609020428e-05,4.434683689748385e-06
3822,2.260299797689041e-06,32,1.1317978609020428e-05,4.434683689748385e-06
7774,2.260299797689041e-06,32,0.0,4.5777380023209135e-06
2147,2.260299797689041e-06,32,1.1317978609020428e-05,4.434683689748385e-06
5764,2.260299797689041e-06,32,1.1317978609020428e-05,4.434683689748385e-06
6281,2.260299797689041e-06,32,1.1317978609020428e-05,4.434683689748385e-06
7361,2.260299797689041e-06,32,0.0,4.5777380023209135e-06
4355,2.260299797689041e-06,32,0.0,4.5777380023209135e-06
6349,2.260299797689041e-06,32,0.0,4.5777380023209135e-06
36,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
17725,2.1896654290112586e-06,31,2.2635957218040857e-05,4.148575064603328e-06
1948,2.1896654290112586e-06,31,2.2635957218040857e-05,4.148575064603328e-06
10596,2.1896654290112586e-06,31,1.1317978609020428e-05,4.291629377175856e-06
545,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
2503,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
5354,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
3178,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
664,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
1874,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
2517,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
7113,2.1896654290112586e-06,31,1.1317978609020428e-05,4.291629377175856e-06
6429,2.1896654290112586e-06,31,0.0,4.434683689748385e-06
278,2.119031060333476e-06,30,0.0,4.291629377175856e-06
976,2.119031060333476e-06,30,0.0,4.291629377175856e-06
1017,2.119031060333476e-06,30,1.1317978609020428e-05,4.148575064603328e-06
2108,2.119031060333476e-06,30,0.0,4.291629377175856e-06
1064,2.119031060333476e-06,30,0.0,4.291629377175856e-06
5056,2.119031060333476e-06,30,0.0,4.291629377175856e-06
6441,2.119031060333476e-06,30,1.1317978609020428e-05,4.148575064603328e-06
20764,2.119031060333476e-06,30,0.0,4.291629377175856e-06
3887,2.119031060333476e-06,30,0.0,4.291629377175856e-06
1960,2.119031060333476e-06,30,1.1317978609020428e-05,4.148575064603328e-06
20812,2.048396691655694e-06,29,0.0,4.148575064603328e-06
8765,2.048396691655694e-06,29,1.1317978609020428e-05,4.005520752030799e-06
1500,2.048396691655694e-06,29,0.0,4.148575064603328e-06
12612,2.048396691655694e-06,29,1.1317978609020428e-05,4.005520752030799e-06
6813,2.048396691655694e-06,29,0.0,4.148575064603328e-06
718,2.048396691655694e-06,29,1.1317978609020428e-05,4.005520752030799e-06
2162,2.048396691655694e-06,29,0.0,4.148575064603328e-06
6677,2.048396691655694e-06,29,0.0,4.148575064603328e-06
2023,2.048396691655694e-06,29,0.0,4.148575064603328e-06
7173,2.048396691655694e-06,29,0.0,4.148575064603328e-06
7828,2.048396691655694e-06,29,2.2635957218040857e-05,3.862466439458271e-06
6280,2.048396691655694e-06,29,0.0,4.148575064603328e-06
12848,1.9777623229779112e-06,28,2.2635957218040857e-05,3.719412126885742e-06
6749,1.9777623229779112e-06,28,1.1317978609020428e-05,3.862466439458271e-06
2714,1.9777623229779112e-06,28,1.1317978609020428e-05,3.862466439458271e-06
2146,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
2114,1.9777623229779112e-06,28,1.1317978609020428e-05,3.862466439458271e-06
663,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
990,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
2276,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
2305,1.9777623229779112e-06,28,1.1317978609020428e-05,3.862466439458271e-06
4115,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
7926,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
869,1.9777623229779112e-06,28,1.1317978609020428e-05,3.862466439458271e-06
7512,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
904,1.9777623229779112e-06,28,0.0,4.005520752030799e-06
2518,1.9071279543001284e-06,27,0.0,3.862466439458271e-06
1070,1.9071279543001284e-06,27,1.1317978609020428e-05,3.719412126885742e-06
11493,1.9071279543001284e-06,27,0.0,3.862466439458271e-06
8881,1.9071279543001284e-06,27,0.0,3.862466439458271e-06
1576,1.9071279543001284e-06,27,0.0,3.862466439458271e-06
7152,1.9071279543001284e-06,27,1.1317978609020428e-05,3.719412126885742e-06
6477,1.9071279543001284e-06,27,1.1317978609020428e-05,3.719412126885742e-06
2756,1.9071279543001284e-06,27,0.0,3.862466439458271e-06
794,1.836493585622346e-06,26,0.0,3.719412126885742e-06
312,1.836493585622346e-06,26,0.0,3.719412126885742e-06
6486,1.836493585622346e-06,26,1.1317978609020428e-05,3.5763578143132136e-06
2319,1.836493585622346e-06,26,0.0,3.719412126885742e-06
7125,1.836493585622346e-06,26,1.1317978609020428e-05,3.5763578143132136e-06
6606,1.836493585622346e-06,26,0.0,3.719412126885742e-06
7131,1.836493585622346e-06,26,0.0,3.719412126885742e-06
6495,1.836493585622346e-06,26,0.0,3.719412126885742e-06
6978,1.836493585622346e-06,26,0.0,3.719412126885742e-06
1991,1.836493585622346e-06,26,0.0,3.719412126885742e-06
6841,1.836493585622346e-06,26,0.0,3.719412126885742e-06
2148,1.836493585622346e-06,26,0.0,3.719412126885742e-06
2801,1.836493585622346e-06,26,0.0,3.719412126885742e-06
1263,1.836493585622346e-06,26,1.1317978609020428e-05,3.5763578143132136e-06
7080,1.836493585622346e-06,26,0.0,3.719412126885742e-06
1090,1.836493585622346e-06,26,0.0,3.719412126885742e-06
1940,1.836493585622346e-06,26,0.0,3.719412126885742e-06
268,1.836493585622346e-06,26,4.5271914436081714e-05,3.147194876595628e-06
5285,1.836493585622346e-06,26,0.0,3.719412126885742e-06
5355,1.836493585622346e-06,26,0.0,3.719412126885742e-06
20809,1.836493585622346e-06,26,0.0,3.719412126885742e-06
