DETAIL_LAB_PROCEDURE_ID,n_valid_patients,abnormal_rate_patients,abnormal_rate_patients_pos,abnormal_rate_patients_neg,delta_abnormal_pat,rr_abnormal_pat,lab_score_pat,n_patients_with_lab,n_encounters_with_lab,LAB_PROCEDURE_NAME,LAB_PROCEDURE_GROUP,LAB_SUPER_GROUP,LOINC_CODE
8926,54407.0,0.1533258588049331,0.336283185840708,0.1529450768040667,0.1833381090366413,2.198718604532202,1.9991675970316736,54408.0,61883.0,Cholesterol non HDL Serum or Plasma Quantitative,Cholesterol Test,General Test,43396-1
3825,338.0,0.1627218934911242,0.5,0.1607142857142857,0.3392857142857143,3.111111111111112,1.976678607861224,338.0,342.0,Common Ragweed Antibody IgE RAST (Ambrosia elatior),Allergy Test,Allergy Test,15975-6
2258,658.0,0.270516717325228,0.5714285714285714,0.2672811059907834,0.304147465437788,2.1379310344827585,1.9741371118763384,828.0,890.0,Streptococcus pneumoniae Antibody Type 5,Strep pneumo Test,Pathogen Specific Test,17647-9
2254,698.0,0.2736389684813753,0.5714285714285714,0.2706222865412446,0.3008062848873268,2.111535523300229,1.970176107080875,698.0,740.0,Streptococcus pneumoniae Antibody Type 18C,Strep pneumo Test,Pathogen Specific Test,17622-2
1073,9051.0,0.4912164401723566,0.2783505154639175,0.4935224480679026,-0.2151719326039851,0.5640078106956138,1.960375749877512,9850.0,11804.0,"HCG Total, Serum Quantitative",HCG Test,General Test,19080-1
2034,125.0,0.6,1.0,0.5967741935483871,0.4032258064516129,1.6756756756756757,1.9501136721578536,125.0,125.0,"Blood Gas, Venous Cord Blood",Blood Gas Test,Blood Gas Test,51972-8
1096,1023.0,0.270772238514174,0.5454545454545454,0.2647352647352647,0.2807192807192807,2.060377358490566,1.9457977795938524,1281.0,1323.0,Hemoglobin F (Fetal) Quantitative,Hemoglobin Test,General Test,40549-8
18233,283.0,0.2685512367491166,0.6,0.2564102564102564,0.3435897435897436,2.3400000000000003,1.940929610034876,283.0,286.0,Hepatitis C Virus RNA [Units/volume] Viral Load Serum or Plasma Probe and Signal Amp Method,Hepatitis C Test,Pathogen Specific Test,29609-5
196,2723.0,0.3301505692251194,0.0869565217391304,0.3322222222222222,-0.2452657004830918,0.2617420386796567,1.940016536218684,3248.0,3587.0,Clostridium difficile Toxin A,C Diff Test,Pathogen Specific Test,6360-2
802,328.0,0.2713414634146341,0.6,0.2662538699690402,0.3337461300309597,2.2534883720930234,1.934411843753892,328.0,332.0,Albumin IgG Index,Albumin Test,General Test,6782-7
16439,17650.0,0.6009065155807365,0.7953667953667953,0.5980104651831407,0.1973563301836546,1.3300215325215323,1.9298582921463383,17650.0,19237.0,Blood Gas Oxygen Saturation Calculated from Oxygen Partial Pressure Arterial Blood,Blood Gas Test,Blood Gas Test,51733-4
1348,1578.0,0.2585551330798479,0.0,0.2595419847328244,-0.2595419847328244,0.0,1.9114091487381053,1616.0,1690.0,"Uric Acid, Urine 24 hr","Uric Acid Test,Urine",General Test,21587-1
6986,261.0,0.3409961685823754,0.0,0.3423076923076923,-0.3423076923076923,0.0,1.906087157056683,393.0,426.0,"Isoleucine, Serum/Plasma Quantitative",General Test,General Test,20648-2
806,105.0,0.4,0.0,0.4077669902912621,-0.4077669902912621,0.0,1.9015965238126875,105.0,105.0,Alkaline Phosphatase Fractionation,Alk Phos Test,General Test,33421-9
1247,150.0,0.3733333333333333,0.0,0.3783783783783784,-0.3783783783783784,0.0,1.898430208524566,150.0,154.0,Protein Total for Serum Immunoelectrophoresis,Protein Test,General Test,
6975,1385.0,0.2859205776173285,0.03125,0.2919438285291943,-0.2606938285291943,0.1070411392405063,1.8859053452475176,1416.0,1441.0,"Inhibin A, Serum Quantitative",General Test,General Test,23883-2
434,128.0,0.125,0.5,0.1129032258064516,0.3870967741935484,4.428571428571429,1.881217704914196,243.0,245.0,HIV1 DNA Amplification PCR Qualitative,HIV1 Test,Pathogen Specific Test,30245-5
21217,10634.0,0.7476960692119616,0.948051948051948,0.7462347257743677,0.2018172222775803,1.2704473744077704,1.8712302591707493,10708.0,15110.0,Urea/Creatinine Mass Ratio Serum or Plasma,Urea Nitrogen Test,General Test,56997-0
