ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio
W10,62112,741,64094,0.005408,0.00551,-0.000102,0.98154
Q30,1423,5,1631,3.6e-05,0.00014,-0.000104,0.260268
A63,9710,125,11836,0.000912,0.001018,-0.000105,0.896627
C06,2569,28,3611,0.000204,0.00031,-0.000106,0.658319
H59,1409,3,1499,2.2e-05,0.000129,-0.000107,0.169912
W55,3598,33,4052,0.000241,0.000348,-0.000107,0.691433
C65,1682,11,2187,8e-05,0.000188,-0.000108,0.42702
N46,1469,6,1763,4.4e-05,0.000152,-0.000108,0.288937
B09,2093,10,2118,7.3e-05,0.000182,-0.000109,0.400847
F70,3867,39,4579,0.000285,0.000394,-0.000109,0.723103
Z49,3169,24,3329,0.000175,0.000286,-0.000111,0.612073
H16,7505,86,8601,0.000628,0.000739,-0.000112,0.848899
D3A,3816,41,4792,0.000299,0.000412,-0.000113,0.726395
Q68,3182,26,3529,0.00019,0.000303,-0.000114,0.6255
O15,2563,16,2682,0.000117,0.000231,-0.000114,0.506485
D31,1683,8,2007,5.8e-05,0.000173,-0.000114,0.338413
Q70,1130,3,1591,2.2e-05,0.000137,-0.000115,0.160087
C88,2293,26,3561,0.00019,0.000306,-0.000116,0.619879
Q52,2024,11,2300,8e-05,0.000198,-0.000117,0.406041
D09,2305,14,2553,0.000102,0.000219,-0.000117,0.465567
Q74,3185,28,3753,0.000204,0.000323,-0.000118,0.63341
W27,5783,53,5875,0.000387,0.000505,-0.000118,0.765904
M43,49152,624,54361,0.004555,0.004673,-0.000119,0.97455
H80,1188,1,1476,7e-06,0.000127,-0.00012,0.05752
C07,1397,8,2075,5.8e-05,0.000178,-0.00012,0.327323
X10,2607,18,2922,0.000131,0.000251,-0.00012,0.522995
M11,5043,46,5315,0.000336,0.000457,-0.000121,0.734786
X12,2827,19,3028,0.000139,0.00026,-0.000122,0.532725
O89,2268,11,2366,8e-05,0.000203,-0.000123,0.394714
D43,2203,12,2465,8.8e-05,0.000212,-0.000124,0.413304
S08,30166,347,30920,0.002533,0.002658,-0.000125,0.952789
F82,2239,13,2655,9.5e-05,0.000228,-0.000133,0.415704
H49,5366,56,6332,0.000409,0.000544,-0.000136,0.75085
H00,10107,111,11010,0.00081,0.000947,-0.000136,0.855938
K41,3116,21,3366,0.000153,0.000289,-0.000136,0.529677
T30,12550,143,13758,0.001044,0.001183,-0.000139,0.882445
L23,3341,22,3500,0.000161,0.000301,-0.00014,0.533655
S79,18655,213,19722,0.001555,0.001696,-0.000141,0.916929
D10,2689,15,2915,0.000109,0.000251,-0.000141,0.436876
C40,2118,22,3518,0.000161,0.000302,-0.000142,0.530924
N53,7394,75,8029,0.000547,0.00069,-0.000143,0.79306
S91,60901,766,66694,0.005591,0.005734,-0.000143,0.9751
C66,1882,10,2531,7.3e-05,0.000218,-0.000145,0.335439
Q06,2694,21,3481,0.000153,0.000299,-0.000146,0.512178
N33,9617,96,9843,0.000701,0.000846,-0.000146,0.828038
D28,2425,9,2473,6.6e-05,0.000213,-0.000147,0.308975
Q75,1787,11,2646,8e-05,0.000227,-0.000147,0.352946
C23,1944,16,3087,0.000117,0.000265,-0.000149,0.440037
Q64,3374,29,4210,0.000212,0.000362,-0.00015,0.584819
L83,2161,8,2440,5.8e-05,0.00021,-0.000151,0.278359
K36,2326,8,2434,5.8e-05,0.000209,-0.000151,0.279045
I60,15569,184,17383,0.001343,0.001494,-0.000151,0.898669
O33,5065,39,5107,0.000285,0.000439,-0.000154,0.648343
H01,4623,41,5317,0.000299,0.000457,-0.000158,0.654671
O46,13642,148,14416,0.00108,0.001239,-0.000159,0.871613
L04,3473,21,3635,0.000153,0.000313,-0.000159,0.490479
Q03,3022,24,3915,0.000175,0.000337,-0.000161,0.520457
C74,1804,19,3513,0.000139,0.000302,-0.000163,0.459178
X11,2923,15,3193,0.000109,0.000275,-0.000165,0.398839
S40,53638,615,54145,0.004489,0.004655,-0.000166,0.964326
D33,4398,42,5509,0.000307,0.000474,-0.000167,0.647266
F73,1633,2,2115,1.5e-05,0.000182,-0.000167,0.080283
C01,3131,31,4588,0.000226,0.000394,-0.000168,0.573646
C57,1653,5,2379,3.6e-05,0.000205,-0.000168,0.178435
C84,2572,27,4263,0.000197,0.000366,-0.000169,0.537718
C76,11716,150,14699,0.001095,0.001264,-0.000169,0.866384
Q17,1847,6,2476,4.4e-05,0.000213,-0.000169,0.205734
T85,37193,452,40342,0.003299,0.003468,-0.000169,0.951235
Q69,1515,2,2143,1.5e-05,0.000184,-0.00017,0.079234
L65,6316,58,6916,0.000423,0.000595,-0.000171,0.711999
C81,7984,143,14138,0.001044,0.001215,-0.000172,0.858726
H83,4523,31,4657,0.000226,0.0004,-0.000174,0.565147
Z11,60107,748,65529,0.00546,0.005634,-0.000174,0.969114
N91,13008,147,14525,0.001073,0.001249,-0.000176,0.859227
O40,8624,96,10192,0.000701,0.000876,-0.000176,0.799684
W07,11641,117,11976,0.000854,0.00103,-0.000176,0.829432
P08,3205,14,3252,0.000102,0.00028,-0.000177,0.365496
H34,4040,34,4972,0.000248,0.000427,-0.000179,0.580569
T20,10639,122,12445,0.00089,0.00107,-0.000179,0.832284
Q36,1493,0,2091,0.0,0.00018,-0.00018,0.0
W08,4209,29,4556,0.000212,0.000392,-0.00018,0.540406
C22,23461,420,37783,0.003066,0.003248,-0.000183,0.943756
K66,33424,373,33816,0.002722,0.002907,-0.000185,0.936469
D44,3083,19,3811,0.000139,0.000328,-0.000189,0.423273
C48,3313,29,4657,0.000212,0.0004,-0.000189,0.528686
Q65,4680,47,6193,0.000343,0.000532,-0.000189,0.644322
Q51,4832,38,5456,0.000277,0.000469,-0.000192,0.59131
L92,5663,45,6066,0.000328,0.000521,-0.000193,0.62982
Q87,7345,97,10484,0.000708,0.000901,-0.000193,0.785509
L50,23243,266,24841,0.001942,0.002136,-0.000194,0.909116
