ICD10_3Digits,n_patients_with_dx,sum_f_pos,sum_f_neg,mean_f_pos,mean_f_neg,score_diff,score_ratio,DIAGNOSIS_DESCRIPTION
S56,8280,66,8547,0.000482,0.000735,-0.000253,0.655597,"Injury of muscle, fascia and tendon at forearm level"
S60,88490,1028,90239,0.007503,0.007758,-0.000255,0.967177,"Superficial injury of wrist, hand and fingers"
D41,4818,26,5218,0.00019,0.000449,-0.000259,0.423034,Neoplasm of uncertain behavior of urinary organs
L20,7258,64,8466,0.000467,0.000728,-0.000261,0.641813,Atopic dermatitis
L71,5103,30,5597,0.000219,0.000481,-0.000262,0.455064,Rosacea
N26,9362,80,9848,0.000584,0.000847,-0.000263,0.689681,Unspecified contracted kidney
F72,2633,2,3233,1.5e-05,0.000278,-0.000263,0.052521,Severe intellectual disabilities
N71,5581,32,5799,0.000234,0.000499,-0.000265,0.468493,"Inflammatory disease of uterus, except cervix"
Q20,3287,25,5216,0.000182,0.000448,-0.000266,0.40692,Congenital malformations of cardiac chambers and connections
K38,5432,29,5581,0.000212,0.00048,-0.000268,0.441156,Other diseases of appendix
V18,5263,30,5676,0.000219,0.000488,-0.000269,0.44873,Pedal cycle rider injured in noncollision transport accident
Q27,8232,75,9503,0.000547,0.000817,-0.00027,0.67005,Other congenital malformations of peripheral vascular system
V43,19169,192,19469,0.001401,0.001674,-0.000272,0.837268,"Car occupant injured in collision with car, pick-up truck or van"
C7A,6199,63,8533,0.00046,0.000734,-0.000274,0.626824,Malignant neuroendocrine tumors
O73,5551,29,5672,0.000212,0.000488,-0.000276,0.434078,"Retained placenta and membranes, without hemorrhage"
C82,4937,50,7467,0.000365,0.000642,-0.000277,0.5685,Follicular lymphoma
Q18,3235,10,4090,7.3e-05,0.000352,-0.000279,0.207579,Other congenital malformations of face and neck
H73,3567,7,3846,5.1e-05,0.000331,-0.00028,0.154523,Other disorders of tympanic membrane
Q35,3363,13,4512,9.5e-05,0.000388,-0.000293,0.244613,Cleft palate
M25,982140,13847,1179037,0.101068,0.101363,-0.000295,0.997092,"Other joint disorder, not elsewhere classified"
M89,18648,199,20327,0.001452,0.001748,-0.000295,0.831164,Other disorders of bone
B07,7876,67,9114,0.000489,0.000784,-0.000295,0.624126,Viral warts
T21,11471,124,13964,0.000905,0.0012,-0.000295,0.753908,Burn and corrosion of trunk
I31,38123,458,42342,0.003343,0.00364,-0.000297,0.918335,Other diseases of pericardium
R58,12985,115,13244,0.000839,0.001139,-0.000299,0.7372,"Hemorrhage, not elsewhere classified"
M76,21427,236,23553,0.001723,0.002025,-0.000302,0.850693,"Enthesopathies, lower limb, excluding foot"
