rank,feature,mean_abs_shap,DIAGNOSIS_DESCRIPTION
240,G93,0.0012680774088948,Other disorders of brain
241,I67,0.0012523930054157,Other cerebrovascular diseases
242,W21,0.0012470696819946,Striking against or struck by sports equipment
243,C67,0.0012427412439137,Malignant neoplasm of bladder
244,Z77,0.0012403591535985,Other contact with and (suspected) exposures hazardous to health
245,R73,0.0012358492240309,Elevated blood glucose level
246,N94,0.0012347546871751,Pain and other conditions associated with female genital organs and menstrual cycle
247,H35,0.0012303799157962,Other retinal disorders
248,M47,0.0012291877064853,Spondylosis
249,R30,0.0012280390365049,Pain associated with micturition
250,B96,0.0012126886285841,Other bacterial agents as the cause of diseases classified elsewhere
251,R55,0.0012122937478125,Syncope and collapse
252,R20,0.0012115486897528,Disturbances of skin sensation
253,E21,0.0012049940414726,Hyperparathyroidism and other disorders of parathyroid gland
254,C22,0.0011797212064266,Malignant neoplasm of liver and intrahepatic bile ducts
255,C73,0.0011787455296143,Malignant neoplasm of thyroid gland
256,D49,0.0011746664531528,Neoplasms of unspecified behavior
257,O24,0.0011718414025381,"Diabetes mellitus in pregnancy, childbirth, and the puerperium"
258,C91,0.0011691036634147,Lymphoid leukemia
259,A05,0.0011655151611194,"Other bacterial foodborne intoxications, not elsewhere classified"
260,Q54,0.0011637163115665,Hypospadias
261,L72,0.0011589862406253,Follicular cysts of skin and subcutaneous tissue
262,K74,0.0011585289612412,Fibrosis and cirrhosis of liver
263,M16,0.0011545373126864,Osteoarthritis of hip
264,Z11,0.0011484269052743,Encounter for screening for infectious and parasitic diseases
265,K82,0.0011416043853387,Other diseases of gallbladder
266,E29,0.0011275570141151,Testicular dysfunction
267,N64,0.001120846485719,Other disorders of breast
268,Z87,0.0011176411062479,Personal history of other diseases and conditions
269,C77,0.0011156330583617,Secondary and unspecified malignant neoplasm of lymph nodes
270,F25,0.001109313336201,Schizoaffective disorders
271,Z21,0.0011077640810981,Asymptomatic human immunodeficiency virus [HIV] infection status
272,M43,0.0010963074164465,Other deforming dorsopathies
273,O62,0.0010813062544912,Abnormalities of forces of labor
274,R97,0.0010798507137224,Abnormal tumor markers
275,M86,0.001059646718204,Osteomyelitis
276,G56,0.0010588219156488,Mononeuropathies of upper limb
277,G80,0.0010495474562048,Cerebral palsy
278,I95,0.0010297101689502,Hypotension
279,Q66,0.0010263803415,Congenital deformities of feet
280,D32,0.0010016246233135,Benign neoplasm of meninges
281,B34,0.0009948872029781,Viral infection of unspecified site
282,R22,0.0009948541410267,"Localized swelling, mass and lump of skin and subcutaneous tissue"
283,T82,0.0009928366634994,"Complications of cardiac and vascular prosthetic devices, implants and grafts"
284,N87,0.000986068858765,Dysplasia of cervix uteri
285,L91,0.000985556282103,Hypertrophic disorders of skin
286,O03,0.0009770370088517,Spontaneous abortion
287,K65,0.0009727434371598,Peritonitis
288,D27,0.0009427184122614,Benign neoplasm of ovary
289,D22,0.0009351412882097,Melanocytic nevi
290,S63,0.0009349548490718,Dislocation and sprain of joints and ligaments at wrist and hand level
291,F39,0.0009330990724265,Unspecified mood [affective] disorder
292,O35,0.0009300234960392,Maternal care for known or suspected fetal abnormality and damage
293,R31,0.0009145708172582,Hematuria
294,M24,0.0008970629423856,Other specific joint derangements
295,K61,0.0008949702023528,Abscess of anal and rectal regions
296,S27,0.0008946921443566,Injury of other and unspecified intrathoracic organs
297,O00,0.0008766355458647,Ectopic pregnancy
298,M21,0.0008628371288068,Other acquired deformities of limbs
299,G97,0.0008483038982376,"Intraoperative and postprocedural complications and disorders of nervous system, not elsewhere classified"
300,K37,0.0008443769183941,Unspecified appendicitis
301,V00,0.0008436830248683,Pedestrian conveyance accident
302,O86,0.0008290480473078,Other puerperal infections
303,F80,0.0008262344636023,Specific developmental disorders of speech and language
