ICD10_3Digits,n_encounters_with_dx,score_abs,score_sq,DIAGNOSIS_DESCRIPTION
R14,61972,1284.749421,577.176764,Flatulence and related conditions
N80,74757,1279.751609,536.651577,Endometriosis
M20,73343,1277.426754,413.177662,Acquired deformities of fingers and toes
I89,41691,1271.586212,924.953088,Other noninfective disorders of lymphatic vessels and lymph nodes
S40,65642,1265.634832,569.158154,Superficial injury of shoulder and upper arm
K91,50715,1258.60722,794.456844,"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified"
M23,88421,1248.373117,285.046596,Internal derangement of knee
L40,43996,1244.895597,790.574473,Psoriasis
N95,81795,1241.542069,333.553632,Menopausal and other perimenopausal disorders
B35,52151,1224.835377,634.225181,Dermatophytosis
K65,52343,1224.492437,653.04656,Peritonitis
T78,59142,1221.289688,594.823621,"Adverse effects, not elsewhere classified"
Q21,56627,1205.419433,489.257462,Congenital malformations of cardiac septa
T83,50992,1202.231558,638.912733,"Complications of genitourinary prosthetic devices, implants and grafts"
